organization_id,organization_name,tier,platform,account_handle,account_url,active,notes
rolf,River of Life Foundation,focal_org,instagram,@rolforg,https://www.instagram.com/rolforg/,true,focal org; handle verified from rolfusa.org footer 2026-07-14 (plan doc's @riveroflifefoundation was wrong)
rolf,River of Life Foundation,focal_org,facebook,@ROLFUSA,https://www.facebook.com/ROLFUSA/,true,focal org; verified from rolfusa.org footer 2026-07-14
rolf,River of Life Foundation,focal_org,linkedin,,https://www.linkedin.com/company/river-of-life-foundation/,false,manual collection chosen 2026-07-14 — URL kept for manual entry
marthas_kitchen,Martha's Kitchen,south_bay_local,instagram,@marthaskitchensj,https://www.instagram.com/marthaskitchensj/,true,core shortlist; San Jose food security; ~2.1K IG followers 2026-07-15
marthas_kitchen,Martha's Kitchen,south_bay_local,facebook,@marthaskitchensj,https://www.facebook.com/marthaskitchensj/,true,core shortlist; verified from marthas-kitchen.org footer 2026-07-14
marthas_kitchen,Martha's Kitchen,south_bay_local,linkedin,,https://www.linkedin.com/company/marthaskitchensj/,false,manual collection chosen 2026-07-14 — URL kept for manual entry
sunnyvale_cs,Sunnyvale Community Services,south_bay_local,instagram,@sunnyvalecommunityservices,https://www.instagram.com/sunnyvalecommunityservices/,true,core shortlist; homelessness/hunger prevention; ~1.3K IG followers 2026-07-15
sunnyvale_cs,Sunnyvale Community Services,south_bay_local,facebook,@sunnyvalecommunityservices,https://www.facebook.com/sunnyvalecommunityservices/,true,core shortlist; verified from svcommunityservices.org footer 2026-07-14
sunnyvale_cs,Sunnyvale Community Services,south_bay_local,linkedin,,https://www.linkedin.com/company/sunnyvale-community-services/,false,manual collection chosen 2026-07-14 — URL kept for manual entry
sacred_heart_cs,Sacred Heart Community Service,south_bay_local,instagram,@sacredheartcs,https://www.instagram.com/sacredheartcs/,true,core shortlist; San Jose anti-poverty; ~4K IG followers 2026-07-15
sacred_heart_cs,Sacred Heart Community Service,south_bay_local,facebook,@sacredheartcs,https://www.facebook.com/sacredheartcs/,true,core shortlist; verified from sacredheartcs.org footer 2026-07-14
sacred_heart_cs,Sacred Heart Community Service,south_bay_local,linkedin,,https://www.linkedin.com/company/sacred-heart-community-service/,false,manual collection chosen 2026-07-14 — URL kept for manual entry
west_valley_cs,West Valley Community Services,south_bay_local,instagram,@wvcommunityservices,https://www.instagram.com/wvcommunityservices/,true,core shortlist; Cupertino safety-net; ~1.3K IG followers 2026-07-15
